"n" "lower" "upper"
464 -1.736 2.128
465 -1.736 2.128
466 -1.736 2.128
467 -1.736 2.128
468 -1.736 2.128
469 -1.736 2.128
470 -1.736 2.128
471 -1.736 2.128
472 -1.736 2.128
473 -1.736 2.128
474 -1.736 2.128
475 -1.736 2.128
476 -1.736 2.128
477 -1.735 2.128
478 -1.735 2.128
479 -1.735 2.129
480 -1.735 2.129
481 -1.735 2.129
482 -1.735 2.129
483 -1.735 2.129
484 -1.735 2.129
485 -1.735 2.129
486 -1.735 2.129
487 -1.735 2.129
488 -1.735 2.129
489 -1.735 2.129
490 -1.735 2.129
491 -1.735 2.129
492 -1.735 2.129
493 -1.735 2.129
494 -1.734 2.13
495 -1.734 2.13
496 -1.734 2.13
497 -1.734 2.13
498 -1.734 2.13
499 -1.734 2.13
500 -1.734 2.13
